id,email,label
2685,"From: support@legitcompany.com
Subject: Regarding Your Recent Inquiry

Thank you for reaching out regarding [your inquiry]. We have reviewed your request and will get back to you within 24 hours with a detailed response. Sincerely, Customer Service Team",ham
5857,"From: noreply@softwareupdates.com
Subject: Weekly Newsletter - Latest Updates

Please find attached your invoice for the services rendered in June. The total amount due is $X.XX. Payment is due by [Date]. If you have any questions, please reply to this email. Thank you, Accounts Department",ham
2399,"From: noreply@softwareupdates.com
Subject: Important: Software Update Notification

Thank you for your order #6789. Your items will be shipped within 2 business days. You can track your order here: [link to legitimate tracking page]. Best regards, Legit Company Support",ham
3244,"From: info@customerservice.co
Subject: Team Stand-up at 10 AM

Please find attached your invoice for the services rendered in June. The total amount due is $X.XX. Payment is due by [Date]. If you have any questions, please reply to this email. Thank you, Accounts Department",ham
2844,"From: info@customerservice.co
Subject: Team Stand-up at 10 AM

Here's your weekly dose of news and updates from our community. This week, we cover [topic 1] and [topic 2]. Read more on our blog: [link to blog]. Sincerely, The Newsletter Team",ham
9740,"From: survey@retailfeedback.com
Subject: Invoice for Services Rendered

Hey [Friend's Name], it's been a while! How have you been? I was thinking about [recent event/topic]. Let's catch up soon! Cheers, [Your Name]",ham
9126,"From: info@customerservice.co
Subject: Invoice for Services Rendered

Hi team, just a reminder about our Project Alpha meeting tomorrow at 10 AM in Conference Room 3. Please come prepared to discuss the Q3 roadmap. Best, John",ham
5188,"From: noreply@softwareupdates.com
Subject: Feedback Request: Your Recent Purchase

Hi everyone, I've uploaded the photos from our weekend trip to the shared drive. You can view them here: [link to cloud storage]. Let me know what you think! Best, [Your Name]",ham
9823,"From: survey@retailfeedback.com
Subject: Your Order #6789 Confirmed

This is an automated notification regarding an important software update for your system. Please ensure your software is updated to the latest version to maintain security and performance. Learn more: [link to official update page]. Regards, Software Updates",ham
3726,"From: family@homemail.net
Subject: Important: Software Update Notification

Thank you for your order #6789. Your items will be shipped within 2 business days. You can track your order here: [link to legitimate tracking page]. Best regards, Legit Company Support",ham
3490,"From: noreply@softwareupdates.com
Subject: Feedback Request: Your Recent Purchase

Thank you for reaching out regarding [your inquiry]. We have reviewed your request and will get back to you within 24 hours with a detailed response. Sincerely, Customer Service Team",ham
9526,"From: noreply@softwareupdates.com
Subject: Invoice for Services Rendered

Good morning, everyone. Just a quick reminder for our daily stand-up meeting at 10 AM. Please be ready to share your progress and any blockers. Thanks, Project Manager",ham
8992,"From: john.doe@example.com
Subject: Catching Up - How are you?

Please find attached your invoice for the services rendered in June. The total amount due is $X.XX. Payment is due by [Date]. If you have any questions, please reply to this email. Thank you, Accounts Department",ham
8850,"From: friend@personalmail.net
Subject: Catching Up - How are you?

Please find attached your invoice for the services rendered in June. The total amount due is $X.XX. Payment is due by [Date]. If you have any questions, please reply to this email. Thank you, Accounts Department",ham
5424,"From: support@legitcompany.com
Subject: Photos from the Weekend Trip

Please find attached your invoice for the services rendered in June. The total amount due is $X.XX. Payment is due by [Date]. If you have any questions, please reply to this email. Thank you, Accounts Department",ham
5870,"From: support@legitcompany.com
Subject: Meeting Reminder: Project Alpha

Hi team, just a reminder about our Project Alpha meeting tomorrow at 10 AM in Conference Room 3. Please come prepared to discuss the Q3 roadmap. Best, John",ham
7360,"From: info@customerservice.co
Subject: Invoice for Services Rendered

We value your feedback! Please take a few moments to complete a short survey about your recent purchase from us. Your input helps us improve. Take survey: [link to survey]. Thank you, Retail Feedback Team",ham
5808,"From: info@customerservice.co
Subject: Regarding Your Recent Inquiry

Thank you for your order #6789. Your items will be shipped within 2 business days. You can track your order here: [link to legitimate tracking page]. Best regards, Legit Company Support",ham
9441,"From: accounts@billingcorp.com
Subject: Your Order #6789 Confirmed

Please find attached your invoice for the services rendered in June. The total amount due is $X.XX. Payment is due by [Date]. If you have any questions, please reply to this email. Thank you, Accounts Department",ham
129,"From: social@media-boost.online
Subject: Your Package Is Delayed - Action Required

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
6291,"From: support@legitcompany.com
Subject: Regarding Your Recent Inquiry

We value your feedback! Please take a few moments to complete a short survey about your recent purchase from us. Your input helps us improve. Take survey: [link to survey]. Thank you, Retail Feedback Team",ham
9698,"From: team@projectmanagement.com
Subject: Invoice for Services Rendered

Here's your weekly dose of news and updates from our community. This week, we cover [topic 1] and [topic 2]. Read more on our blog: [link to blog]. Sincerely, The Newsletter Team",ham
5788,"From: team@projectmanagement.com
Subject: Feedback Request: Your Recent Purchase

Hi team, just a reminder about our Project Alpha meeting tomorrow at 10 AM in Conference Room 3. Please come prepared to discuss the Q3 roadmap. Best, John",ham
881,"From: info@unclaimed-funds.co
Subject: Important Security Alert: Login from New Device

We detected suspicious login attempts on your account. For your security, please update your password immediately: [link]",spam
1837,"From: survey@retailfeedback.com
Subject: Important: Software Update Notification

Thank you for your order #6789. Your items will be shipped within 2 business days. You can track your order here: [link to legitimate tracking page]. Best regards, Legit Company Support",ham
3795,"From: info@customerservice.co
Subject: Important: Software Update Notification

Hey [Friend's Name], it's been a while! How have you been? I was thinking about [recent event/topic]. Let's catch up soon! Cheers, [Your Name]",ham
5831,"From: accounts@billingcorp.com
Subject: Photos from the Weekend Trip

Hi team, just a reminder about our Project Alpha meeting tomorrow at 10 AM in Conference Room 3. Please come prepared to discuss the Q3 roadmap. Best, John",ham
9359,"From: accounts@billingcorp.com
Subject: Regarding Your Recent Inquiry

We value your feedback! Please take a few moments to complete a short survey about your recent purchase from us. Your input helps us improve. Take survey: [link to survey]. Thank you, Retail Feedback Team",ham
6367,"From: support@legitcompany.com
Subject: Photos from the Weekend Trip

Please find attached your invoice for the services rendered in June. The total amount due is $X.XX. Payment is due by [Date]. If you have any questions, please reply to this email. Thank you, Accounts Department",ham
2767,"From: survey@retailfeedback.com
Subject: Your Order #6789 Confirmed

We value your feedback! Please take a few moments to complete a short survey about your recent purchase from us. Your input helps us improve. Take survey: [link to survey]. Thank you, Retail Feedback Team",ham
8135,"From: john.doe@example.com
Subject: Feedback Request: Your Recent Purchase

Here's your weekly dose of news and updates from our community. This week, we cover [topic 1] and [topic 2]. Read more on our blog: [link to blog]. Sincerely, The Newsletter Team",ham
112,"From: money@easy-cash.top
Subject: Unclaimed Funds Await You

A large sum of money is waiting for you. Contact us to claim your inheritance: [email]",spam
